	0
1007	1
1008	1
1009	1
1010	12
1011	12
1012	16
1013	16
1014	16
1015	16
1016	37
1017	16
1018	16
1019	16
1020	16
1021	16
1022	16
1023	16
1024	16
1025	30
1026	30
1027	30
1028	30
1029	4
1030	9
1031	35
1032	36
1033	9
1034	35
1035	36
1036	9
1037	35
1038	35
1039	35
1040	36
1041	35
1042	9
1043	9
1044	9
1045	35
1046	35
1047	9
1048	9
1049	9
1050	9
1051	9
1052	9
1053	1
1054	1
1055	1
1056	1
1057	1
1058	1
1059	35
1060	14
1061	14
1062	14
1063	14
1064	14
1065	14
1066	14
1067	15
1068	14
1069	14
1070	14
1071	14
1072	14
1073	14
1074	14
1075	14
1076	14
1077	14
1078	14
1079	8
1080	8
1081	1
1082	1
1083	1
1084	1
1085	1
1086	1
1087	1
1088	1
1089	12
1090	12
1091	30
1092	17
1093	17
1094	17
1095	17
1096	17
1097	25
1098	25
1099	25
1100	25
1101	25
1102	25
1103	25
1104	25
1105	25
1106	25
1107	25
1108	25
1109	25
1110	25
1111	25
1112	25
1113	7
1114	7
1115	2
1116	7
1117	2
1118	2
1119	2
1120	7
1121	7
1122	7
1123	2
1124	2
1125	2
1126	2
1127	2
1128	2
1129	2
1130	7
1131	2
1132	2
1133	2
1134	23
1135	2
1136	2
1137	7
1138	7
1139	2
1140	28
1141	5
1142	26
1143	32
1144	32
1145	32
1146	26
1147	28
1148	26
1149	26
1150	28
1151	28
1152	28
1153	32
1154	5
1155	32
1156	5
1157	5
1158	26
1159	32
1160	5
1161	32
1162	28
1163	5
1164	28
1165	26
1166	5
1167	32
1168	26
1169	5
1170	32
1171	32
1172	5
1173	32
1174	5
1175	5
1176	5
1177	5
1178	32
1179	32
1180	5
1181	5
1182	32
1183	32
1184	5
1185	5
1186	32
1187	32
1188	32
1189	32
1190	33
1191	33
1192	23
1193	23
1194	33
1195	23
1196	33
1197	23
1198	2
1199	27
1200	27
1201	27
1202	27
1203	27
1204	27
1205	27
1206	27
1207	17
1208	13
1209	13
1210	13
1211	13
1212	13
1213	13
1214	13
1215	13
1216	13
1217	13
1218	13
1219	13
1220	13
1221	13
1222	13
1223	13
1224	26
1225	28
1226	28
1227	26
1228	26
1229	28
1230	28
1231	28
1232	28
1233	28
1234	26
1235	28
1236	28
1237	28
1238	28
1239	28
1240	26
1241	26
1242	26
1243	26
1244	26
1245	28
1246	28
1247	28
1248	28
1249	26
1250	28
1251	26
1252	28
1253	26
1254	28
1255	28
1256	28
1257	28
1258	28
1259	28
1260	28
1261	26
1262	28
1263	28
1264	2
1265	2
1266	37
1267	37
1268	25
1269	25
1270	25
1271	25
1272	25
1273	25
1274	2
1275	7
1276	2
1277	7
1278	7
1279	2
1280	2
1281	7
1282	2
1283	7
1284	7
1285	2
1286	7
1287	2
1288	2
1289	7
1290	33
1291	33
1292	33
1293	33
1294	33
1295	33
1296	33
1297	33
1298	33
1299	33
1300	33
1301	33
1302	2
1303	4
1304	4
1305	2
1306	7
1307	2
1308	2
1309	2
1310	2
1311	2
1312	7
1313	2
1314	2
1315	2
1316	7
1317	25
1318	25
1319	25
1320	25
1321	25
1322	25
1323	25
1324	25
1325	25
1326	25
1327	7
1328	7
1329	2
1330	2
1331	25
1332	25
1333	25
1334	25
1335	33
1336	25
1337	25
1338	25
1339	25
1340	25
1341	25
1342	33
1343	6
1344	4
1345	4
1346	11
1347	11
1348	11
1349	11
1350	11
1351	11
1352	6
1353	6
1354	4
1355	8
1356	28
1357	26
1358	5
1359	32
1360	5
1361	32
1362	32
1363	5
1364	32
1365	5
1366	28
1367	26
1368	32
1369	5
1370	5
1371	32
1372	26
1373	26
1374	28
1375	28
1376	32
1377	5
1378	5
1379	32
1380	32
1381	5
1382	32
1383	28
1384	26
1385	5
1386	13
1387	13
1388	13
1389	2
1390	2
1391	9
1392	9
1393	9
1394	36
1395	9
1396	9
1397	9
1398	36
1399	27
1400	27
1401	27
1402	27
1403	27
1404	27
1405	27
1406	27
1407	27
1408	27
1409	27
1410	27
1411	27
1412	27
1413	27
1414	9
1415	9
1416	1
1417	7
1418	7
1419	7
1420	7
1421	7
1422	7
1423	7
1424	1
1425	25
1426	25
1427	25
1428	25
1429	25
1430	25
1431	1
1432	1
1433	3
1434	20
1435	20
1436	20
1437	2
1438	2
1439	7
1440	2
1441	20
1442	20
1443	20
1444	20
1445	17
1446	34
1447	34
1448	17
1449	17
1450	17
1451	17
1452	17
1453	3
1454	3
1455	3
1456	3
1457	17
1458	17
1459	17
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	33
1467	17
1468	17
1469	17
1470	17
1471	17
1472	13
1473	13
1474	13
1475	13
1476	27
1477	27
1478	27
1479	27
1480	27
1481	27
1482	30
1483	30
1484	30
1485	30
1486	8
1487	8
1488	8
1489	8
1490	8
1491	8
1492	8
1493	14
1494	14
1495	14
1496	14
1497	14
1498	14
1499	14
1500	14
1501	14
1502	14
1503	14
1504	14
1505	14
1506	14
1507	14
1508	14
1509	35
1510	9
1511	35
1512	9
1513	35
1514	9
1515	4
1516	4
1517	4
1518	4
1519	4
1520	4
1521	18
1522	18
1523	13
1524	13
1525	1
1526	1
1527	1
1528	1
1529	1
1530	1
1531	1
1532	1
1533	7
1534	1
1535	25
1536	25
1537	12
1538	12
1539	33
1540	33
1541	33
1542	33
1543	33
1544	33
1545	33
1546	33
1547	2
1548	2
1549	2
1550	2
1551	13
1552	13
1553	13
1554	13
1555	3
1556	3
1557	4
1558	0
1559	0
1560	0
1561	0
1562	0
1563	0
1564	31
1565	33
1566	33
1567	37
1568	7
1569	2
1570	7
1571	2
1572	7
1573	2
1574	27
1575	27
1576	27
1577	31
1578	31
1579	31
1580	27
1581	27
1582	27
1583	27
1584	27
1585	27
1586	21
1587	21
1588	25
1589	19
1590	2
1591	2
1592	2
1593	8
1594	8
1595	20
1596	20
1597	33
1598	33
1599	33
1600	33
1601	3
1602	3
1603	17
1604	17
1605	17
1606	11
1607	11
1608	11
1609	11
1610	11
1611	11
1612	11
1613	12
1614	12
1615	23
1616	9
1617	37
1618	33
1619	7
1620	12
1621	33
1622	37
1623	4
1624	36
1625	36
1626	36
1627	36
1628	36
1629	36
1630	14
1631	14
1632	23
1633	2
1634	1
1635	27
1636	17
1637	37
1638	8
1639	4
1640	33
1641	20
1642	12
1643	17
1644	20
1645	20
1646	9
1647	1
1648	15
1649	34
1650	33
1651	34
1652	17
1653	34
1654	17
1655	17
1656	13
1657	1
1658	1
1659	1
1660	7
1661	1
1662	1
1663	1
1664	17
1665	17
1666	17
1667	4
1668	4
1669	36
1670	36
1671	36
1672	36
1673	36
1674	9
1675	1
1676	9
1677	1
1678	9
1679	9
1680	9
1681	9
1682	9
1683	9
1684	8
1685	33
1686	25
1687	30
1688	1
1689	1
1690	1
1691	2
1692	2
1693	37
1694	1
1695	1
1696	2
1697	20
1698	20
1699	17
1700	1
1701	1
1702	8
1703	37
1704	23
1705	15
1706	15
1707	15
1708	3
1709	3
1710	8
1711	8
1712	8
1713	36
1714	36
1715	36
1716	36
1717	36
1718	36
1719	36
1720	36
1721	36
1722	36
1723	1
1724	36
1725	36
1726	36
1727	36
1728	36
1729	15
1730	15
1731	8
1732	10
1733	10
1734	10
1735	10
1736	10
1737	10
1738	36
1739	36
1740	36
1741	36
1742	36
1743	4
1744	11
1745	33
1746	23
1747	33
1748	23
1749	36
1750	36
1751	36
1752	36
1753	36
1754	8
1755	1
1756	1
1757	1
1758	1
1759	1
1760	1
1761	1
1762	1
1763	9
1764	9
1765	9
1766	2
1767	4
1768	12
1769	1
1770	1
1771	1
1772	15
1773	15
1774	15
1775	20
1776	20
1777	20
1778	20
1779	20
1780	25
1781	25
1782	25
1783	25
1784	25
1785	25
1786	4
1787	4
1788	4
1789	4
1790	12
1791	30
1792	9
1793	9
1794	9
1795	9
1796	1
1797	1
1798	1
1799	7
1800	2
1801	2
1802	2
1803	2
1804	10
1805	10
1806	10
1807	10
1808	10
1809	10
1810	10
1811	10
1812	10
1813	10
1814	10
1815	10
1816	10
1817	10
1818	10
1819	17
1820	1
1821	8
1822	8
1823	8
1824	8
1825	8
1826	8
1827	8
1828	8
1829	1
1830	1
1831	1
1832	15
1833	15
1834	15
1835	15
1836	15
1837	15
1838	15
1839	15
1840	15
1841	15
1842	15
1843	15
1844	1
1845	30
1846	30
1847	30
1848	30
1849	30
1850	30
1851	30
1852	30
1853	30
1854	30
1855	8
1856	8
1857	4
1858	17
1859	17
1860	17
1861	22
1862	4
1863	4
1864	8
1865	22
1866	8
1867	22
1868	22
1869	30
1870	30
1871	30
1872	30
1873	7
1874	17
1875	17
1876	17
1877	17
1878	17
1879	17
1880	15
1881	15
1882	15
1883	9
1884	9
1885	9
1886	9
1887	9
1888	9
1889	9
1890	9
1891	2
1892	17
1893	17
1894	17
1895	17
1896	17
1897	17
1898	17
1899	17
1900	17
1901	17
1902	17
1903	17
1904	17
1905	22
1906	4
1907	17
1908	17
1909	17
1910	17
1911	17
1912	17
1913	9
1914	9
1915	33
1916	33
1917	33
1918	33
1919	33
1920	33
1921	33
1922	33
1923	33
1924	37
1925	37
1926	37
1927	37
1928	2
1929	7
1930	2
1931	2
1932	2
1933	2
1934	7
1935	2
1936	7
1937	2
1938	7
1939	2
1940	12
1941	12
1942	12
1943	12
1944	20
1945	20
1946	20
1947	20
1948	12
1949	12
1950	12
1951	12
1952	12
1953	17
1954	17
1955	17
1956	17
1957	9
1958	17
1959	9
1960	9
1961	17
1962	9
1963	9
1964	9
1965	9
1966	9
1967	17
1968	16
1969	7
1970	2
1971	2
1972	2
1973	2
1974	35
1975	35
1976	9
1977	35
1978	9
1979	9
1980	9
1981	35
1982	9
1983	9
1984	35
1985	35
1986	15
1987	15
1988	15
1989	30
1990	30
1991	4
1992	30
1993	22
1994	4
1995	35
1996	9
1997	30
1998	34
1999	17
2000	17
2001	12
2002	12
2003	12
2004	7
2005	2
2006	7
2007	2
2008	1
2009	1
2010	1
2011	1
2012	1
2013	1
2014	12
2015	12
2016	12
2017	30
2018	12
2019	12
2020	7
2021	1
2022	1
2023	31
2024	1
2025	1
2026	1
2027	1
2028	1
2029	7
2030	2
2031	7
2032	2
2033	29
2034	35
2035	35
2036	29
2037	29
2038	29
2039	29
2040	29
2041	9
2042	3
2043	3
2044	3
2045	7
2046	7
2047	1
2048	31
2049	1
2050	1
2051	23
2052	23
2053	23
2054	29
2055	29
2056	23
2057	29
2058	23
2059	29
2060	23
2061	29
2062	29
2063	23
2064	15
2065	15
2066	3
2067	34
2068	17
2069	34
2070	17
2071	17
2072	17
2073	17
2074	4
2075	4
2076	4
2077	18
2078	18
2079	4
2080	4
2081	4
2082	1
2083	9
2084	1
2085	9
2086	1
2087	9
2088	9
2089	9
2090	9
2091	9
2092	2
2093	2
2094	1
2095	1
2096	1
2097	1
2098	1
2099	1
2100	1
2101	2
2102	2
2103	2
2104	2
2105	2
2106	2
2107	0
2108	0
2109	0
2110	0
2111	0
2112	0
2113	0
2114	1
2115	37
2116	25
2117	25
2118	25
2119	25
2120	25
2121	25
2122	25
2123	25
2124	25
2125	9
2126	9
2127	9
2128	9
2129	9
2130	9
2131	9
2132	9
2133	9
2134	9
2135	9
2136	9
2137	9
2138	9
2139	9
2140	29
2141	29
2142	29
2143	29
2144	29
2145	29
2146	29
2147	29
2148	36
2149	27
2150	9
2151	9
2152	29
2153	29
2154	31
2155	31
2156	1
2157	1
2158	1
2159	9
2160	31
2161	31
2162	37
2163	37
2164	37
2165	7
2166	31
2167	31
2168	35
2169	31
2170	31
2171	30
2172	30
2173	37
2174	37
2175	37
2176	37
2177	37
2178	37
2179	37
2180	37
2181	37
2182	18
2183	30
2184	18
2185	23
2186	23
2187	23
2188	1
2189	1
2190	1
2191	1
2192	1
2193	30
2194	18
2195	18
2196	30
2197	30
2198	35
2199	35
2200	35
2201	12
2202	37
2203	37
2204	37
2205	37
2206	20
2207	20
2208	20
2209	1
2210	1
2211	1
2212	1
2213	1
2214	8
2215	8
2216	8
2217	8
2218	8
2219	8
2220	8
2221	8
2222	8
2223	8
2224	8
2225	8
2226	8
2227	8
2228	8
2229	1
2230	8
2231	8
2232	1
2233	1
2234	1
2235	9
2236	9
2237	9
2238	9
2239	17
2240	17
2241	4
2242	4
2243	4
2244	4
2245	4
2246	4
2247	4
2248	4
2249	4
2250	4
2251	4
2252	4
2253	17
2254	2
2255	7
2256	34
2257	17
2258	2
2259	7
2260	7
2261	2
2262	34
2263	17
2264	7
2265	34
2266	2
2267	17
2268	17
2269	2
2270	2
2271	34
2272	34
2273	7
2274	7
2275	4
2276	9
2277	9
2278	9
2279	9
2280	9
2281	9
2282	4
2283	4
2284	4
2285	34
2286	4
2287	4
2288	3
2289	3
2290	3
2291	3
2292	3
2293	3
2294	3
2295	3
2296	3
2297	3
2298	19
2299	19
2300	37
2301	37
2302	37
2303	37
2304	37
2305	37
2306	37
2307	2
2308	37
2309	37
2310	37
2311	20
2312	20
2313	9
2314	9
2315	1
2316	1
2317	1
2318	7
2319	1
2320	13
2321	19
2322	19
2323	19
2324	19
2325	9
2326	9
2327	9
2328	9
2329	9
2330	9
2331	9
2332	34
2333	34
2334	34
2335	34
2336	17
2337	8
2338	8
2339	8
2340	8
2341	8
2342	8
2343	8
2344	8
2345	8
2346	13
2347	13
2348	13
2349	13
2350	24
2351	12
2352	12
2353	34
2354	34
2355	17
2356	17
2357	17
2358	17
2359	16
2360	4
2361	16
2362	16
2363	16
2364	16
2365	17
2366	17
2367	34
2368	34
2369	17
2370	17
2371	17
2372	17
2373	34
2374	34
2375	34
2376	34
2377	4
2378	17
2379	17
2380	17
2381	17
2382	29
2383	29
2384	29
2385	29
2386	17
2387	17
2388	17
2389	17
2390	13
2391	1
2392	1
2393	1
2394	1
2395	1
2396	1
2397	1
2398	1
2399	2
2400	7
2401	37
2402	2
2403	7
2404	2
2405	37
2406	37
2407	37
2408	37
2409	8
2410	8
2411	8
2412	8
2413	8
2414	30
2415	30
2416	2
2417	23
2418	23
2419	29
2420	29
2421	23
2422	23
2423	2
2424	29
2425	23
2426	29
2427	23
2428	29
2429	29
2430	23
2431	4
2432	4
2433	4
2434	4
2435	4
2436	2
2437	18
2438	18
2439	18
2440	18
2441	1
2442	9
2443	9
2444	9
2445	9
2446	9
2447	9
2448	9
2449	9
2450	20
2451	20
2452	20
2453	20
2454	9
2455	9
2456	9
2457	17
2458	34
2459	34
2460	17
2461	17
2462	17
2463	17
2464	17
2465	17
2466	17
2467	17
2468	17
2469	7
2470	2
2471	2
2472	2
2473	8
2474	8
2475	8
2476	8
2477	7
2478	7
2479	2
2480	31
2481	15
2482	15
2483	15
2484	15
2485	15
2486	15
2487	15
2488	15
2489	15
2490	15
2491	15
2492	15
2493	15
2494	15
2495	15
2496	13
2497	13
2498	13
2499	13
2500	13
2501	13
2502	13
2503	35
2504	35
2505	2
2506	2
2507	2
2508	37
2509	37
2510	14
2511	14
2512	14
2513	14
2514	14
2515	14
2516	14
2517	14
2518	14
2519	14
2520	14
2521	14
2522	14
2523	14
2524	14
2525	14
2526	14
2527	14
2528	14
2529	1
2530	1
2531	1
2532	1
2533	1
2534	1
2535	1
2536	1
2537	1
2538	1
2539	1
2540	1
2541	1
2542	1
2543	1
2544	1
2545	1
2546	1
2547	20
2548	20
2549	20
2550	1
2551	9
2552	1
2553	1
2554	9
2555	9
2556	1
2557	17
2558	10
2559	10
2560	10
2561	10
2562	10
2563	15
2564	15
2565	15
2566	15
2567	15
2568	15
2569	23
2570	23
2571	23
2572	33
2573	33
2574	33
2575	33
2576	33
2577	23
2578	33
2579	33
2580	33
2581	33
2582	33
2583	7
2584	7
2585	7
2586	7
2587	17
2588	17
2589	34
2590	34
2591	17
2592	34
2593	17
2594	17
2595	17
2596	17
2597	17
2598	2
2599	7
2600	2
2601	7
2602	2
2603	2
2604	7
2605	2
2606	7
2607	2
2608	1
2609	1
2610	1
2611	1
2612	25
2613	25
2614	25
2615	1
2616	1
2617	1
2618	1
2619	1
2620	1
2621	1
2622	1
2623	1
2624	1
2625	12
2626	12
2627	16
2628	16
2629	16
2630	16
2631	37
2632	16
2633	16
2634	16
2635	16
2636	16
2637	16
2638	16
2639	16
2640	30
2641	30
2642	30
2643	30
2644	4
2645	9
2646	35
2647	36
2648	9
2649	35
2650	36
2651	9
2652	35
2653	35
2654	35
2655	36
2656	35
2657	9
2658	9
2659	9
2660	35
2661	35
2662	9
2663	9
2664	9
2665	9
2666	9
2667	9
2668	1
2669	1
2670	1
2671	1
2672	1
2673	1
2674	35
2675	14
2676	14
2677	14
2678	14
2679	14
2680	14
2681	14
2682	15
2683	14
2684	14
2685	14
2686	14
2687	14
2688	14
2689	14
2690	14
2691	14
2692	14
2693	14
2694	8
2695	8
2696	1
2697	1
2698	1
2699	1
2700	1
2701	1
2702	1
2703	1
2704	12
2705	12
2706	30
2707	17
2708	17
2709	17
2710	17
2711	17
2712	25
2713	25
2714	25
2715	25
2716	25
2717	25
2718	25
2719	25
2720	25
2721	25
2722	25
2723	25
2724	25
2725	25
2726	25
2727	25
2728	7
2729	7
2730	2
2731	7
2732	2
2733	2
2734	2
2735	7
2736	7
2737	7
2738	2
2739	2
2740	2
2741	2
2742	2
2743	2
2744	2
2745	7
2746	2
2747	2
2748	2
2749	23
2750	2
2751	2
2752	7
2753	7
2754	2
2755	28
2756	5
2757	26
2758	32
2759	32
2760	32
2761	26
2762	28
2763	26
2764	26
2765	28
2766	28
2767	28
2768	32
2769	5
2770	32
2771	5
2772	5
2773	26
2774	32
2775	5
2776	32
2777	28
2778	5
2779	28
2780	26
2781	5
2782	32
2783	26
2784	5
2785	32
2786	32
2787	5
2788	32
2789	5
2790	5
2791	5
2792	5
2793	32
2794	32
2795	5
2796	5
2797	32
2798	32
2799	5
2800	5
2801	32
2802	32
2803	32
2804	32
2805	33
2806	33
2807	23
2808	23
2809	33
2810	23
2811	33
2812	23
2813	2
2814	27
2815	27
2816	27
2817	27
2818	27
2819	27
2820	27
2821	27
2822	17
2823	13
2824	13
2825	13
2826	13
2827	13
2828	13
2829	13
2830	13
2831	13
2832	13
2833	13
2834	13
2835	13
2836	13
2837	13
2838	13
2839	26
2840	28
2841	28
2842	26
2843	26
2844	28
2845	28
2846	28
2847	28
2848	28
2849	26
2850	28
2851	28
2852	28
2853	28
2854	28
2855	26
2856	26
2857	26
2858	26
2859	26
2860	28
2861	28
2862	28
2863	28
2864	26
2865	28
2866	26
2867	28
2868	26
2869	28
2870	28
2871	28
2872	28
2873	28
2874	28
2875	28
2876	26
2877	28
2878	28
2879	2
2880	2
2881	37
2882	37
2883	25
2884	25
2885	25
2886	25
2887	25
2888	25
2889	2
2890	7
2891	2
2892	7
2893	7
2894	2
2895	2
2896	7
2897	2
2898	7
2899	7
2900	2
2901	7
2902	2
2903	2
2904	7
2905	33
2906	33
2907	33
2908	33
2909	33
2910	33
2911	33
2912	33
2913	33
2914	33
2915	33
2916	33
2917	2
2918	4
2919	4
2920	2
2921	7
2922	2
2923	2
2924	2
2925	2
2926	2
2927	7
2928	2
2929	2
2930	2
2931	7
2932	25
2933	25
2934	25
2935	25
2936	25
2937	25
2938	25
2939	25
2940	25
2941	25
2942	7
2943	7
2944	2
2945	2
2946	25
2947	25
2948	25
2949	25
2950	33
2951	25
2952	25
2953	25
2954	25
2955	25
2956	25
2957	33
2958	6
2959	4
2960	4
2961	11
2962	11
2963	11
2964	11
2965	11
2966	11
2967	6
2968	6
2969	4
2970	8
2971	28
2972	26
2973	5
2974	32
2975	5
2976	32
2977	32
2978	5
2979	32
2980	5
2981	28
2982	26
2983	32
2984	5
2985	5
2986	32
2987	26
2988	26
2989	28
2990	28
2991	32
2992	5
2993	5
2994	32
2995	32
2996	5
2997	32
